X,CH1,CH2,CH3,CH4,Start,Increment,
Sequence,Volt,Volt,Volt,Volt,-3.000000e-05,5.000000e-08
0,8.00e-02,-6.40e-02,-5.60e-02,-8.00e-03,
1,-1.60e-01,-7.20e-02,-5.60e-02,3.20e-02,
2,8.00e-02,-6.40e-02,-5.60e-02,3.20e-02,
3,-1.60e-01,-8.00e-02,-5.60e-02,8.00e-02,
4,-1.60e-01,-8.00e-02,-5.60e-02,8.00e-02,
5,8.00e-02,-7.20e-02,-4.00e-02,1.28e-01,
6,-1.60e-01,-8.00e-02,-4.80e-02,1.20e-01,
7,0.00e+00,-8.80e-02,-4.00e-02,1.76e-01,
8,-1.60e-01,-8.80e-02,-4.80e-02,1.68e-01,
9,8.00e-02,-8.80e-02,-3.20e-02,2.24e-01,
10,-1.60e-01,-8.00e-02,-3.20e-02,2.32e-01,
11,8.00e-02,-1.04e-01,-4.00e-02,2.80e-01,
12,-1.60e-01,-9.60e-02,-4.00e-02,2.72e-01,
13,8.00e-02,-1.04e-01,-2.40e-02,3.28e-01,
14,0.00e+00,-9.60e-02,-3.20e-02,3.28e-01,
15,8.00e-02,-1.04e-01,-2.40e-02,3.76e-01,
16,0.00e+00,-9.60e-02,-2.40e-02,3.68e-01,
17,8.00e-02,-1.12e-01,-3.20e-02,4.16e-01,
18,0.00e+00,-1.12e-01,-3.20e-02,4.16e-01,
19,8.00e-02,-9.60e-02,-2.40e-02,4.48e-01,
20,8.00e-02,-1.04e-01,-3.20e-02,4.48e-01,
21,0.00e+00,-1.12e-01,-1.60e-02,4.72e-01,
22,0.00e+00,-1.12e-01,-1.60e-02,4.72e-01,
23,8.00e-02,-9.60e-02,-2.40e-02,4.96e-01,
24,8.00e-02,-1.04e-01,-1.60e-02,4.88e-01,
25,0.00e+00,-8.80e-02,-3.20e-02,5.04e-01,
26,8.00e-02,-9.60e-02,-3.20e-02,4.96e-01,
27,0.00e+00,-8.00e-02,-2.40e-02,5.04e-01,
28,0.00e+00,-8.00e-02,-3.20e-02,5.04e-01,
29,8.00e-02,-6.40e-02,-2.40e-02,4.88e-01,
30,0.00e+00,-7.20e-02,-3.20e-02,4.88e-01,
31,8.00e-02,-5.60e-02,-1.60e-02,4.72e-01,
32,0.00e+00,-6.40e-02,-3.20e-02,4.80e-01,
33,8.00e-02,-4.80e-02,-1.60e-02,4.48e-01,
34,0.00e+00,-5.60e-02,-3.20e-02,4.56e-01,
35,8.00e-02,-4.00e-02,-2.40e-02,4.24e-01,
36,0.00e+00,-4.00e-02,-2.40e-02,4.32e-01,
37,0.00e+00,-2.40e-02,-3.20e-02,4.00e-01,
38,0.00e+00,-3.20e-02,-2.40e-02,4.08e-01,
39,0.00e+00,-1.60e-02,-3.20e-02,3.76e-01,
40,8.00e-02,-2.40e-02,-3.20e-02,3.76e-01,
41,0.00e+00,-8.00e-03,-2.40e-02,3.36e-01,
42,0.00e+00,-8.00e-03,-3.20e-02,3.36e-01,
